DateTime,E.91,E.8A,BTH,E.66A,E.87,WY,RE
26/07/2025 16:00,106.555465698,108.007698059,108.266120911,110.724761963,134.905914307,106.180725098,260.578033447
26/07/2025 17:00,106.553398132,107.909233093,108.131820679,111.226921082,134.927474976,106.742744446,260.238647461
26/07/2025 18:00,106.560974121,107.819213867,108.157470703,111.451904297,134.95350647,107.135345459,259.793670654
26/07/2025 19:00,106.575889587,107.730865479,108.244682312,111.480255127,134.984161377,107.371711731,259.527252197
26/07/2025 20:00,106.598670959,107.639793396,108.309211731,111.536170959,135.019744873,107.545578003,259.153381348
26/07/2025 21:00,106.628601074,107.561462402,108.345573425,111.577377319,135.06036377,107.666877747,258.823120117
26/07/2025 22:00,106.671195984,107.485198975,108.366210938,111.625343323,135.106292725,107.754867554,258.508728027
26/07/2025 23:00,106.719657898,107.419509888,108.374404907,109.921485901,135.157745361,107.82257843,258.19909668
27/07/2025 00:00,106.779602051,107.357559204,108.172164917,112.511260986,135.214828491,108.403511047,257.905731201
27/07/2025 01:00,106.847427368,107.30002594,108.267906189,110.927780151,135.277816772,108.744789124,257.614318848
27/07/2025 02:00,106.928390503,107.241722107,106.892372131,111.40171814,135.346817017,108.888458252,257.362091064
27/07/2025 03:00,107.019607544,107.189079285,108.130401611,108.066558838,135.422073364,109.1590271,256.970916748
27/07/2025 04:00,107.120613098,107.140014648,107.55255127,113.010932922,135.503646851,109.462181091,256.745788574
27/07/2025 05:00,107.23374176,107.094711304,106.999465942,108.254058838,135.591766357,109.609184265,256.418731689
27/07/2025 06:00,107.359672546,107.050071716,106.894477844,111.767883301,135.686630249,109.797317505,256.236999512
27/07/2025 07:00,107.498352051,107.021766663,108.07459259,109.616722107,135.78843689,110.358856201,255.851913452
27/07/2025 08:00,107.646591187,106.991035461,106.959327698,108.802146912,135.895812988,110.327804565,255.711883545
27/07/2025 09:00,107.805122375,106.96736145,106.817276001,110.789657593,136.008895874,110.588935852,255.382583618
27/07/2025 10:00,107.975265503,106.955764771,106.794250488,109.472671509,136.127838135,110.916526794,255.11076355
27/07/2025 11:00,108.154006958,106.943000793,108.056884766,109.047515869,136.252593994,111.133262634,254.942489624
27/07/2025 12:00,108.347503662,106.937995911,106.90296936,109.616104126,136.38319397,111.389411926,254.660308838
27/07/2025 13:00,108.54750061,106.945205688,106.933601379,109.616226196,136.519592285,111.575363159,254.44152832
27/07/2025 14:00,108.761436462,106.953788757,106.990768433,109.639564514,136.661697388,111.711669922,254.22102356
27/07/2025 15:00,108.982307434,106.974281311,107.033454895,109.690925598,136.809280396,111.82673645,254.002166748
27/07/2025 16:00,109.215232849,107.00125885,107.066604614,109.753715515,136.962188721,111.919502258,253.804153442
27/07/2025 17:00,109.459732056,107.038612366,107.100440979,109.804153442,137.120132446,112.000305176,253.606918335
27/07/2025 18:00,109.712837219,107.088768005,107.130561829,109.852554321,137.282852173,112.071388245,253.428482056
27/07/2025 19:00,109.973136902,107.146476746,107.158729553,109.896347046,137.450088501,112.136894226,253.26133728
27/07/2025 20:00,110.241111755,107.210830688,107.191009521,109.938446045,137.621658325,112.1978302,253.096191406
27/07/2025 21:00,110.518592834,107.286941528,107.220756531,109.980911255,137.797393799,112.256835938,252.949493408
27/07/2025 22:00,110.803321838,107.370658875,107.254882812,110.019142151,137.977157593,112.312240601,252.801803589
27/07/2025 23:00,111.096733093,107.464698792,107.29057312,110.051528931,138.160842896,112.367080688,252.678878784
28/07/2025 00:00,111.398544312,107.570709229,107.328056335,110.077552795,138.348434448,112.422485352,252.552124023
28/07/2025 01:00,111.707267761,107.679008484,107.372764587,110.116409302,138.53994751,112.478767395,252.439208984
28/07/2025 02:00,112.024971008,107.802726746,107.418479919,110.150733948,138.73538208,112.535469055,252.333602905
28/07/2025 03:00,112.35144043,107.932304382,107.469177246,110.181343079,138.934844971,112.594619751,252.233718872
28/07/2025 04:00,112.684532166,108.07434082,107.524841309,110.223236084,139.138412476,112.655601501,252.144851685
28/07/2025 05:00,113.02646637,108.221160889,107.582077026,110.267021179,139.34614563,112.718902588,252.067687988
28/07/2025 06:00,113.376464844,108.379745483,107.645606995,110.3070755,139.55809021,112.787010193,251.99659729
28/07/2025 07:00,113.73690033,108.547561646,107.717880249,110.358177185,139.774215698,112.857025146,251.927429199
28/07/2025 08:00,114.105606079,108.724311829,107.795753479,110.404975891,139.994918823,112.933303833,251.881561279
28/07/2025 09:00,114.487998962,108.910934448,107.86945343,110.461982727,140.220123291,113.013587952,251.831512451
28/07/2025 10:00,114.877822876,109.104133606,107.959007263,110.517204285,140.449768066,113.10017395,251.794113159
